ramp_rate,max_cap,update_interval,threshold,resolved,epochs,final_overlap,duration,final_weight,experiment
1.02,20.0,10,0.1,True,221,0.0,1.2220048904418945,1.0,ramp_rate
1.02,20.0,10,0.1,True,201,0.0,0.44311094284057617,1.0,ramp_rate
1.02,20.0,10,0.1,True,217,0.0,0.4118540287017822,1.0,ramp_rate
1.02,20.0,10,0.1,True,226,0.0,0.39931488037109375,1.0,ramp_rate
1.02,20.0,10,0.1,True,204,0.0,0.4296886920928955,1.0,ramp_rate
1.05,20.0,10,0.1,True,221,0.0,0.4443061351776123,1.0071529150009155,ramp_rate
1.05,20.0,10,0.1,True,201,0.0,0.4004507064819336,1.0,ramp_rate
1.05,20.0,10,0.1,True,217,0.0,0.4034600257873535,1.0,ramp_rate
1.05,20.0,10,0.1,True,226,0.0,0.442446231842041,1.0,ramp_rate
1.05,20.0,10,0.1,True,204,0.0,0.4160189628601074,1.0,ramp_rate
1.1,20.0,10,0.1,True,221,0.0,0.45564794540405273,1.2095940113067627,ramp_rate
1.1,20.0,10,0.1,True,201,0.0,0.41530704498291016,1.0,ramp_rate
1.1,20.0,10,0.1,True,217,0.0,0.4512491226196289,1.0,ramp_rate
1.1,20.0,10,0.1,True,226,0.0,0.404066801071167,1.0886346101760864,ramp_rate
1.1,20.0,10,0.1,True,204,0.0,0.40050482749938965,1.0,ramp_rate
1.2,20.0,10,0.1,True,221,0.0,0.43972301483154297,1.1660081148147583,ramp_rate
1.2,20.0,10,0.1,True,201,0.0,0.38840198516845703,1.0,ramp_rate
1.2,20.0,10,0.1,True,217,0.0,0.38937807083129883,1.0,ramp_rate
1.2,20.0,10,0.1,True,226,0.0,0.39429593086242676,1.4133436679840088,ramp_rate
1.2,20.0,10,0.1,True,204,0.0,0.4215717315673828,1.0,ramp_rate
1.1,10.0,10,0.1,True,221,0.0,0.3886892795562744,1.2095940113067627,max_cap
1.1,10.0,10,0.1,True,201,0.0,0.39119601249694824,1.0,max_cap
1.1,10.0,10,0.1,True,217,0.0,0.4563319683074951,1.0,max_cap
1.1,10.0,10,0.1,True,226,0.0,0.400256872177124,1.0886346101760864,max_cap
1.1,10.0,10,0.1,True,204,0.0,0.39026403427124023,1.0,max_cap
1.1,20.0,10,0.1,True,221,0.0,0.38945579528808594,1.2095940113067627,max_cap
1.1,20.0,10,0.1,True,201,0.0,0.43175506591796875,1.0,max_cap
1.1,20.0,10,0.1,True,217,0.0,0.3911101818084717,1.0,max_cap
1.1,20.0,10,0.1,True,226,0.0,0.39830803871154785,1.0886346101760864,max_cap
1.1,20.0,10,0.1,True,204,0.0,0.4257819652557373,1.0,max_cap
1.1,50.0,10,0.1,True,221,0.0,0.40351319313049316,1.2095940113067627,max_cap
1.1,50.0,10,0.1,True,201,0.0,0.3932840824127197,1.0,max_cap
1.1,50.0,10,0.1,True,217,0.0,0.39224910736083984,1.0,max_cap
1.1,50.0,10,0.1,True,226,0.0,0.4237360954284668,1.0886346101760864,max_cap
1.1,50.0,10,0.1,True,204,0.0,0.3955271244049072,1.0,max_cap
1.1,100.0,10,0.1,True,221,0.0,0.40273594856262207,1.2095940113067627,max_cap
1.1,100.0,10,0.1,True,201,0.0,0.42756104469299316,1.0,max_cap
1.1,100.0,10,0.1,True,217,0.0,0.394010066986084,1.0,max_cap
1.1,100.0,10,0.1,True,226,0.0,0.3976430892944336,1.0886346101760864,max_cap
1.1,100.0,10,0.1,True,204,0.0,0.3897562026977539,1.0,max_cap
